"Survey","Season","Year","Tow_Number","Region","Stratum","Grid","Date","Common_Name","Number_Caught","Weight_kg","Subsample_Weight_kg","Subsample_Weight_kg_2","Male_Wt_kg","Female_Wt_kg","Expanded_Catch","Expanded_Weight_kg","TowID"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Plaice American (Dab)",1,0.06,NA,NA,NA,NA,1,0.06,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Redfish Acadian Ocean Perch",3,0.21,NA,NA,NA,NA,3,0.21,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Scallop Sea",2,0.08,NA,NA,NA,NA,2,0.08,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Sculpin Longhorn",20,3.22,NA,NA,NA,NA,20,3.22,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Seaweed Unc",NA,0.04,NA,NA,NA,NA,NA,0.04,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shad American",2,0.08,NA,NA,NA,NA,2,0.08,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shrimp Dichelo",214,0.61,NA,NA,NA,NA,214,0.61,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shrimp Montagui",7,0.02,NA,NA,NA,NA,7,0.02,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Squid Long Finned",2,0.03,NA,NA,NA,NA,2,0.03,"SP23094"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Alewife",6,0.29,NA,NA,NA,NA,6,0.29,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Alligatorfish",1,0.006,NA,NA,NA,NA,1,0.006,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Butterfish",1,0.07,NA,NA,NA,NA,1,0.07,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Crab Jonah",18,1.88,NA,NA,NA,NA,18,1.88,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Flounder Winter",82,8.55,NA,NA,NA,NA,82,8.55,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake Atlantic Red",17,0.49,NA,NA,NA,NA,17,0.49,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake Silver (Whiting)",17,0.61,NA,NA,NA,NA,17,0.61,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake White",2,0.23,NA,NA,NA,NA,2,0.23,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Jelly Comb",NA,0.08,NA,NA,NA,NA,NA,0.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Lobster American",323,73.84,NA,NA,37.96,35.88,323,73.84,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Lumpfish",2,0.77,NA,NA,NA,NA,2,0.77,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Monkfish",2,0.24,NA,NA,NA,NA,2,0.24,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Northern Cyclocardia",1,0.004,NA,NA,NA,NA,1,0.004,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Sculpin Longhorn",17,2.08,NA,NA,NA,NA,17,2.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Sea Raven",1,0.08,NA,NA,NA,NA,1,0.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shad American",1,0.03,NA,NA,NA,NA,1,0.03,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Crangon",1,0.002,NA,NA,NA,NA,1,0.002,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Dichelo",68,0.18,NA,NA,NA,NA,68,0.18,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Montagui",1,0.004,NA,NA,NA,NA,1,0.004,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Squid Long Finned",3,0.18,NA,NA,NA,NA,3,0.18,"SP23096"
